kind,app,route,width,viewportHeight,status,actualPath,expectedRedirect,source,executedStates,findings,runtimeFinding,documentScrollWidth,documentOverflow,smallControlCandidateCount,consoleErrorCount,missingRequestCount,blockedRequestCount,portableScreenshots
"terminal","partner","/not-found","768","1024","measured","/not-found","","src/Cleansia.App/apps/cleansia-partner.app/src/app/app.routes.ts:76","initial","R01","","768","false","1","0","0","0",""
"terminal","admin","/login","400","844","measured","/login","","src/Cleansia.App/libs/cleansia-admin-features/admin-login/src/lib/lib.routes.ts:5","initial","","","400","false","4","0","0","0",""
"terminal","admin","/login","768","1024","measured","/login","","src/Cleansia.App/libs/cleansia-admin-features/admin-login/src/lib/lib.routes.ts:5","initial","","","768","false","4","0","0","0",""
"terminal","admin","/employee-management","400","844","measured","/employee-management","","src/Cleansia.App/libs/cleansia-admin-features/employee-management/src/lib/lib.routes.ts:6","initial","","","400","false","5","0","0","0",""
"terminal","admin","/employee-management","768","1024","measured","/employee-management","","src/Cleansia.App/libs/cleansia-admin-features/employee-management/src/lib/lib.routes.ts:6","initial","R01","","768","false","4","0","0","0",""
"terminal","admin","/employee-management/:employeeId","400","844","measured","/employee-management/audit-id","","src/Cleansia.App/libs/cleansia-admin-features/employee-management/src/lib/lib.routes.ts:11","initial","R04","","400","false","18","0","0","0","screenshots/admin-_employee_management_employeeId-400-initial.png"
"terminal","admin","/employee-management/:employeeId","768","1024","measured","/employee-management/audit-id","","src/Cleansia.App/libs/cleansia-admin-features/employee-management/src/lib/lib.routes.ts:11","initial","R01","","768","false","18","0","0","0",""
"terminal","admin","/pay-periods","400","844","measured","/pay-periods","","src/Cleansia.App/libs/cleansia-admin-features/pay-periods/src/lib/pay-periods.routes.ts:4","initial","","","400","false","6","0","0","0",""
"terminal","admin","/pay-periods","768","1024","measured","/pay-periods","","src/Cleansia.App/libs/cleansia-admin-features/pay-periods/src/lib/pay-periods.routes.ts:4","initial","R01","","768","false","5","0","0","0",""
"terminal","admin","/pay-periods/:id","400","844","measured","/pay-periods/audit-id","","src/Cleansia.App/libs/cleansia-admin-features/pay-periods/src/lib/pay-periods.routes.ts:12","initial","","","400","false","2","0","0","0",""
"terminal","admin","/pay-periods/:id","768","1024","measured","/pay-periods/audit-id","","src/Cleansia.App/libs/cleansia-admin-features/pay-periods/src/lib/pay-periods.routes.ts:12","initial","R01","","768","false","1","0","0","0",""
"terminal","admin","/order-management","400","844","measured","/order-management","","src/Cleansia.App/libs/cleansia-admin-features/order-management/src/lib/lib.routes.ts:6","initial","","","400","false","5","0","0","0",""
"terminal","admin","/order-management","768","1024","measured","/order-management","","src/Cleansia.App/libs/cleansia-admin-features/order-management/src/lib/lib.routes.ts:6","initial","R01","","768","false","4","0","0","0",""
"terminal","admin","/order-management/:orderId","400","844","measured","/order-management/audit-id","","src/Cleansia.App/libs/cleansia-admin-features/order-management/src/lib/lib.routes.ts:11","initial","","","400","false","7","0","0","0",""
"terminal","admin","/order-management/:orderId","768","1024","measured","/order-management/audit-id","","src/Cleansia.App/libs/cleansia-admin-features/order-management/src/lib/lib.routes.ts:11","initial","R01","","768","false","8","0","0","0",""
"terminal","admin","/dispute-management","400","844","measured","/dispute-management","","src/Cleansia.App/libs/cleansia-admin-features/disputes-management/src/lib/lib.routes.ts:6","initial","","","400","false","4","0","0","0",""
"terminal","admin","/dispute-management","768","1024","measured","/dispute-management","","src/Cleansia.App/libs/cleansia-admin-features/disputes-management/src/lib/lib.routes.ts:6","initial","R01","","768","false","4","0","0","0",""
"terminal","admin","/dispute-management/:disputeId","400","844","measured","/dispute-management/audit-id","","src/Cleansia.App/libs/cleansia-admin-features/disputes-management/src/lib/lib.routes.ts:11","initial","","","400","false","7","0","0","0",""
"terminal","admin","/dispute-management/:disputeId","768","1024","measured","/dispute-management/audit-id","","src/Cleansia.App/libs/cleansia-admin-features/disputes-management/src/lib/lib.routes.ts:11","initial","R01","","768","false","6","0","0","0",""
"terminal","admin","/invoice-management","400","844","measured","/invoice-management","","src/Cleansia.App/libs/cleansia-admin-features/invoice-management/src/lib/lib.routes.ts:6","initial","","","400","false","5","0","0","0",""
"terminal","admin","/invoice-management","768","1024","measured","/invoice-management","","src/Cleansia.App/libs/cleansia-admin-features/invoice-management/src/lib/lib.routes.ts:6","initial","R01","","768","false","4","0","0","0",""
